,0
0,50032.995897879824
1,60389.41384021565
2,62603.43517707661
3,72153.13905108348
4,49197.79964193143
5,43392.159140750766
6,42171.18476018589
7,33173.44147480838
8,43995.57964982558
9,61383.431412377395
10,48538.93292967416
11,52142.81001356058
12,82739.17061536387
13,59321.71875131503
14,51928.256066680886
15,47154.63803385757
16,82739.17214293778
17,82776.66042242851
18,55363.239001081325
19,68121.49865541048
20,68121.49891000614
21,76408.91505349148
22,63776.11333956476
23,68121.49992838874
24,68121.5001829844
25,68121.50043758005
26,66629.60112187825
27,60461.93150168471
28,66629.60163106956
29,60152.85029947292
30,64674.41375504527
31,64674.414009640925
32,49197.808298182674
33,55015.691899140365
34,59361.07848796435
35,69987.22527913563
36,64365.33357121516
37,47193.99751591124
38,48538.94158592541
39,48538.94184052106
40,43167.83997276425
41,47266.50804870296
42,38979.092669004574
43,41429.686202859506
44,58811.23179437034
45,70143.86634637043
46,103948.09827162791
47,130020.41653159726
48,118565.77379591856
49,120588.13486739155
50,118565.77430510987
51,108880.59549117927
52,99011.66409906745
53,101225.6854359284
54,102807.20170293748
55,108880.59650956187
56,124974.97868773714
57,88189.52745162416
58,105167.71600897145
59,146599.21878897958
60,99199.35846757423
61,71207.37223360874
62,107190.07784423139
63,80399.01517684478
64,104976.05727115739
65,122658.26756314375
66,114261.84774835873
67,89198.7932987716
68,137716.78814649396
69,98608.31139302999
70,120335.24331877008
71,106960.93209990393
72,102403.84925149474
73,102403.8495060904
74,120738.60137131624
75,98608.3129206039
76,124680.63118057325
77,98608.3134297952
78,99011.67071855441
79,99458.99964591209
80,118531.06568492297
81,99568.00459019002
82,132042.78625932243
83,93043.31394094415
84,101734.08686399739
85,121035.3009386966
86,90911.94945276715
87,95257.33604159206
88,86566.56362772919
89,121329.65455615614
90,99602.72313960735
91,116984.26873111911
92,130020.42798840161
93,71207.38038066961
94,105994.24426400848
95,81503.44252564386
96,125507.15561667457
97,84376.31804633234
98,103948.11176519748
99,92766.42652350757
100,90744.06596122589
101,116816.38422119524
102,101208.01541667618
103,103780.2257276997
104,125507.15765343886
105,90911.95454467926
106,101648.86123952176
107,92958.08882565983
108,114070.19843058288
109,129026.02617105283
110,92643.9319691034
111,92643.93222369906
112,88189.54170897976
113,101225.70096626226
114,69185.02516489569
115,123352.02224711515
116,99602.73001368903
117,101245.50700591039
118,97303.47796044126
119,105802.59087270219
120,90911.9586182097
121,114961.91606130172
122,116984.2771327747
123,104426.22356194071
124,116949.56138390861
125,108149.78453496005
126,80055.1059673056
127,108258.78947923798
128,97436.65181341209
129,90473.88761734962
130,72076.77306279726
131,92899.60597758275
132,116984.27993332688
